name,rating,number of rating,tags,phone number,location,email
Hi Fashion Mens Wear,0,0,"Innerwear And Loungewear, Jeans, Lifestyle Accessories",+91 40 23746795,Ameerpet,zaverifashion@gmail.com
Milan Kidz,0,0,"Children Wear, Garments",+91 40 66200266,Shaikpet,not mentioned
Nithya Sewing Machine,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 9010824821,Secunderabad,info@nityaindia.com
Raymond Collections,0,0,"Lifestyle Accessories, Ready Made Garments, Suitings & Shirtings",+91 9700849330,Abids,selectioncentre1975@gmail.com
Baybee Shoppee,0,0,Baby Store,+91 9177222280,Kukatpally,baybeeshopque10@gmail.com
Shiva Cloth Emporium,0,0,"Children Wear, Garments, Ladies Dresses",+91 9966161106,Kondapur,not mentioned
Toys N More,0,0,Baby Store,+91 40 64620010,Gachibowli,manish@toysnmore.co.in
TNG Clothing For Men,0,0,"Food Stores, Garments, Jeans",+91 8686477145,Mehdipatnam,not mentioned
Royal Extension,0,0,"Dress Materials, Textiles",+91 9949253815,Abids,not mentioned
Pranay Enterprises,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 40 23070623,Kukatpally,pranayenterprises.kkp@gmail.com
Dayals Enterprises,0,0,"Children Wear, Garments",+91 40 24753157,Abids,dayals.mens@gmail.com
Lee Clothing Store,0,0,"Garments, Ready Made Garments",+91 9059115637,Tirumalgiri,not mentioned
Sri Veerabhadra Enterprises,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 9440326611,Narayanguda,venkat_sve@yahoo.com
Monte Carlo Fashion Limited,0,0,Garments,+91 40 65141943,Jubilee Hills,montecarlojubileehills36@gmail.com
Cotton World,0,0,"Dress Materials, Garments, Textiles",+91 40 23554586,Jubilee Hills,cwc.jubilee@gmail.com
Tommy Hilfiger Shoppe,0,0,"Footwear, Garments, Jeans",+91 40 67491361,Banjara Hills,tommy.gvk@th-india.com
Biba Apparels Private Limited,0,0,"Ethnic Wear, Garments",+91 40 65282818,Jubilee Hills,not mentioned
Suits U Wedding Wear,0,0,"Ethnic Wear, Garments, Ready Made Garments",+91 9948111001,Somajiguda,not mentioned
Arrow Clothing Store,0,0,"Garments, Ready Made Garments, Shirts",+91 8121993983,Banjara Hills,ar_gvkonehyd@arvindbrands.com
Kamal Creation,0,0,"Garments, Ready Made Garments",+91 9849497188,Abids,not mentioned
Woodland Store,0,0,"Footwear, Garments, Jeans",+91 40 40144922,Secunderabad,mgroad_secbad@hotmail.com
Sweety Textiles & Tailoring,0,0,"Boutiques, Matching Centres, Tailoring Materials",+91 9290003023,Himayat Nagar,not mentioned
FBB Fashions,0,0,Garments,+91 40 40068818,Attapur,not mentioned
RJ Corp Limited,0,0,"Footwear, Garments, Lifestyle Accessories",+91 9885086784,Jubilee Hills,not mentioned
Victory De Wear,0,0,"Hosiery Store , Innerwear And Loungewear",+91 9848055375,Somajiguda,not mentioned
Shankeshwar Readymade Garments,0,0,"Garments, Jeans, Pants",+91 9848889881,Himayat Nagar,not mentioned
SSIPL Retail Limited,0,0,"Footwear, Garments, Lifestyle Accessories",+91 40 66622441,Banjara Hills,not mentioned
Get In Mens Wear & Garments,0,0,"Garments, Jeans, Pants",+91 9700379399,Abids,not mentioned
Master Designer,0,0,"Dress Materials, Textiles",+91 40 23200124,Abids,not mentioned
United Colors of Benetten Clothing Store,0,0,"Garments, Jeans, Pants",+91 40 65979798,Jubilee Hills,not mentioned
Awesome Garments,0,0,"Garments, Ladies Dresses",+91 9010598587,Banjara Hills,khb_awesome@hotmail.com
Mahati Clothing Company (Spykar),0,0,"Garments, Jeans, Pants",+91 9885583839,Himayat Nagar,not mentioned
Louis Philippe Clothing Store,0,0,"Garments, Ready Made Garments, Shirts",+91 40 67467824,Banjara Hills,not mentioned
Meena Bazar Womens Wear,0,0,"Ethnic Wear, Garments, Sarees & Blouses",+91 40 24753566,Banjara Hills,meenabazarhyd@yahoo.com
Arvind Store,0,0,"Garments, Jeans, Ready Made Garments",+91 40 67467139,Banjara Hills,uspa_gvkonehyd@arvindbrands.com
Crazy Zone Footwear,0,0,"Belts & Wallets, Caps & Hats, Footwear",+91 8801263959,Abids,not mentioned
S.P. Apparels Limited,0,0,"Garments, Ready Made Garments",+91 40 65559911,Jubilee Hills,not mentioned
Only Western Clothing,0,0,"Garments, Ladies Dresses",+91 40 67459220,Banjara Hills,sonind1387@bestseller.com
Jahanpanah Ethnic Wear,0,0,"Ethnic Wear, Garments, Lifestyle Accessories",+91 7093984807,Banjara Hills,jahanpanahcpl@gmail.com
Kushals (Vardhaman Enterprises),0,0,"Ethnic Wear, Garments",+91 9849015159,Jubilee Hills,prashan_singhvee@yahoo.com
Fashion Hut Clothing Store,0,0,"Belts & Wallets, Garments, Jeans",+91 9030585882,Attapur,not mentioned
Tailorman Clothing,0,0,"Tailors, Tailors & Designers",+91 8880841448,Jubilee Hills,vidya@tailorman.com
Naseers Ladies Tailor & Arcade,0,0,"Tailors, Tailors & Designers",+91 9391411580,Mehdipatnam,not mentioned
Balaji Garments,0,0,"Garments, Jeans, Ready Made Garments",+91 9848457438,Kukatpally,not mentioned
Strawberry Boutique,0,0,Garments,+91 8143484684,Kukatpally,sudhu2mahi@gmail.com
Raymonds Showroom,0,0,"Garments, Pants, Ready Made Garments",+91 7893495666,Banjara Hills,banjara.hyderabad@ebo.raymond.in
Balaji Selections,0,0,"Innerwear And Loungewear, Lifestyle Accessories, Night Wears",+91 9160028538,Banjara Hills,not mentioned
Genesis Luxury Retail Private Limited,0,0,"Garments, Ladies Bags & Purses, Ladies Dresses",+91 7799154730,Banjara Hills,sphyderabad@genesiscolors.net
Mango Apparel & Accessories,0,0,"Belts & Wallets, Caps & Hats, Footwear",+91 7654538143,Banjara Hills,mango.gvk@majorbrands.in
Kaira Pretty Me Womens Wear,0,0,Garments,+91 40 24018357,Attapur,not mentioned
4 Me Brands For Men,0,0,"Garments, Jeans, Ready Made Garments",+91 7093333882,Kukatpally,not mentioned
Biba Apparels Private Limited,0,0,"Children Wear, Garments, Ladies Dresses",+91 9550764750,Banjara Hills,bibagvk@bibaindia.com
Sri Rama Selection Clothing Store,0,0,"Garments, Jeans, Pants",+91 9849793304,Attapur,not mentioned
John Hill Fine Fashion,0,0,"Garments, Jeans, Ready Made Garments",+91 9985786022,Mehdipatnam,ayoob.fine@gmail.com
Global Desi,0,0,"Footwear, Garments, Ladies Bags & Purses",+91 40 67451020,Banjara Hills,customercare@houseofanitadongre.com
Femina Exclusive,0,0,"Dress Materials, Ethnic Wear, Garments",+91 9849073974,Abids,not mentioned
Taruni Clothing Store,0,0,"Ethnic Wear, Garments",+91 40 65262525,Jubilee Hills,not mentioned
Colors Ethnic Wear,0,0,"Ethnic Wear, Garments",+91 9014952221,Abids,not mentioned
Allen Solly Clothing,0,0,"Children Wear, Garments",+91 9603385045,Banjara Hills,mg.hydas4931-ro@madura.adityabirla.com
J.N. Brothers,0,0,Garments,+91 9441514010,Hyderguda,not mentioned
Cotlaas Clothing,0,0,"Garments, Jeans, Ladies Dresses",+91 7731840088,Kukatpally,cotlaasnizampet@gmail.com
Zip Zap Kids Wear,0,0,"Garments, Jeans, Pants",+91 7995713531,Gachibowli,not mentioned
Geeta Saree Centre,0,0,Sarees & Blouses,+91 9347806926,Kukatpally,not mentioned
Wrangler Mens Wear,0,0,"Jeans, Pants, Ready Made Garments",+91 40 42226194,Attapur,not mentioned
Rithika Collections,0,0,"Dress Materials, Textiles",+91 40 40257744,Abids,not mentioned
"Shalimar Mens, Kids Wear & Footwear",0,0,"Baby Store, Children Wear, Garments",+91 9700035560,Toli Chowki,not mentioned
Ishta Sakhi Boutique,0,0,"Garments, Ladies Dresses, Sarees & Blouses",+91 40 23355315,Ameerpet,not mentioned
Al Madinah Textiles,0,0,"Garments, Ladies Dresses",+91 40 42027860,Himayat Nagar,not mentioned
Raymonds Store,0,0,"Lifestyle Accessories, Suitings & Shirtings",+91 9989636464,Mehdipatnam,not mentioned
Denim Showroom,0,0,"Garments, Jeans, Ready Made Garments",+91 9866532775,Mehdipatnam,srinu453@gmail.com
U.S. Polo & Hanes,0,0,"Innerwear And Loungewear, Lifestyle Accessories, Shorts & Cargo",+91 9989674181,Gachibowli,not mentioned
Pepe Jeans Store,0,0,"Garments, Jeans, Ready Made Garments",+91 40 42102083,Chanda Nagar,pepecnd@gmail.com
Shopping Station,0,0,"Garments, Ladies Dresses, Sarees & Blouses",+91 9849160316,Mehdipatnam,not mentioned
House of Fashions,0,0,"Garments, Jeans, Ready Made Garments",+91 9989507648,Shaikpet,adilahsankhan.khanadil@gmail.com
Geetanjali Clothing,0,0,"Dress Materials, Garments, Ladies Dresses",+91 40 24754898,Abids,not mentioned
Peter England,0,0,"Garments, Jeans, Ready Made Garments",+91 40 40176413,Ameerpet,mg-hydpe1428@madura-adityabirla.com
SLH Surana Lace House,0,0,"Garments, Sarees & Blouses",+91 8885005432,Feelkhana,suranalacehouse@gmail.com
Shamili Dresses,0,0,"Dress Materials, Ladies Dresses, Textiles",+91 9676415761,KPHB Colony,not mentioned
Bull Jeans Company,0,0,"Garments, Jeans, Ready Made Garments",+91 40 23513555,Mehdipatnam,bulljeans555@gmail.com
Hi 5 Mens Wear,0,0,"Garments, Jeans, Ready Made Garments",+91 9949666855,Ameerpet,hismenswear.hyd@gmail.com
Ranias Collection of Designer Wear,0,0,"Dress Materials, Ethnic Wear, Garments",+91 9985897786,Toli Chowki,not mentioned
Stitch World,0,0,"Tailors, Tailors & Designers",+91 9395550226,Mehdipatnam,not mentioned
Meenaz Exclusive,0,0,"Garments, Ladies Dresses, Sarees & Blouses",+91 9490747864,Abids,meenaznx@gmail.com
Fab India,0,0,"Ethnic Wear, Jeans, Ladies Dresses",+91 8897609410,Banjara Hills,not mentioned
Prapti Clothing Store,0,0,"Ethnic Wear, Garments",+91 9700242101,Punjagutta,pfpghyd@praptifashons.com
Santo Collection,0,0,"Garments, Jeans, Ready Made Garments",+91 9490509232,Abids,not mentioned
VIGG Boutique,0,0,Garments,+91 40 23317463,Mehdipatnam,not mentioned
New Trends Apparels & Accessories,0,0,"Belts & Wallets, Caps & Hats, Footwear",+91 9951444262,Tirumalgiri,newtrend212@gmail.com
Jai Bhavani Selection Centre,0,0,"Lifestyle Accessories, Suitings & Shirtings, Textiles",+91 9247353404,Bala Nagar,jaibhavaniselection@gmail.com
Manyavar Showroom,0,0,"Ethnic Wear, Garments, Ready Made Garments",+91 9177214987,Banjara Hills,info@manyavar.com
Essence Women's Store,0,0,"Garments, Ladies Dresses, Sarees & Blouses",+91 9849119621,Abids,essencehyderbad@yahoo.com
West Face Men's Wear,0,0,"Ethnic Wear, Garments, Jeans",+91 9441000003,Attapur,westface.mbo@gmail.com
Mosaic Footwear,0,0,"Footwear, Lifestyle Accessories, Sandals & Floaters",+91 9391013297,Mehdipatnam,akhilmasoodkhan@yahoo.in
Timex Showroom,0,0,"Lifestyle Accessories, Wrist Watches",+91 9391007382,Abids,khaleel_a98@yahoo.co.in
Kancheepuram Varamahalakshmi Silks,0,0,"Garments, Handlooms, Jewellery",+91 040 64534567,Kukatpally,//www.kanchivml.com
Tathastu Wedding Collection,5,1,"Dress Materials, Ethnic Wear, Garments",+91 040 65265183,Tirumalgiri,not mentioned
Just For U Kids Wear,0,0,"Children Wear, Garments, Jeans",+91 9248838489,Himayat Nagar,vinodbros7111@gmail.com
Zedds Footwear- Factory Outlet,0,0,"Footwear, Lifestyle Accessories, Sandals & Floaters",+91 9885839969,Toli Chowki,shaik_minhaj09@yahoo.com
Kalamandir Wedding Collection,4,1,"Children Wear, Dress Materials, Ethnic Wear",+91 40 64534567,Kukatpally,not mentioned
Southend Banjara,0,0,"Dress Materials, Garments, Ladies Dresses",+91 9642221837,Banjara Hills,banjara@southend.co.in
Baby Store,3,4,"Children Wear, Garments, Toy Shops",+91 040 40148799,Kukatpally,not mentioned
Shreya Fashions,0,0,"Dress Materials, Garments, Innerwear And Loungewear",+91 9848457003,Kukatpally,srikanthdmk28@gmail.com
Balaji Hosiery Wear,0,0,"Garments, Innerwear And Loungewear, Lifestyle Accessories",+91 9885094394,Basheer Bagh,deepak_xlu@yahoo.com
Trisha Trends Womens Wear,0,0,"Dress Materials, Garments, Ladies Dresses",+91 9100530727,Jubilee Hills,trishatrends@gmail.com
Kusum Emporio Women's Wear,0,0,"Garments, Innerwear And Loungewear, Night Wears",+91 9247467605,Mehdipatnam,kusumdesignerworld@yahoo.com
Swetha Boutique,0,0,"Fashion Designers, Garments, Tailors",+91 9848224642,Manikonda,shwethasbotique@gmail.com
Shakambri & Sons Textiles,5,2,"Ethnic Wear, Garments, Innerwear And Loungewear",+91 9394844444,Abids,shakambri@yahoo.com
The United Bulls Men's Wear,0,0,"Garments, Jeans, Lifestyle Accessories",+91 7661998290,Moosapet,najeeb786036@gmail.com
Pakeeza Aanchal Store,0,0,"Dress Materials, Ethnic Wear, Garments",+91 9908848395,Mehdipatnam,pakeezaanchal@gmail.com
Kusum Elite Kids Wear,0,0,"Children Wear, Garments",+91 9247467605,Abids,kusumdesignerworld@yahoo.com
New Chaudhary Enterprises,0,0,"Dress Materials, Matching Centres, Tailoring Materials",+91 9441458032,Attapur,syedmoizanj@gmail.com
J Dot Men's Wear- The Gentlemen Studio,0,0,"Ethnic Wear, Garments, Ready Made Garments",+91 7093984799,Abids,jdotabids@gmail.com
World Of Titan Showroom,0,0,"Lifestyle Accessories, Wrist Watches",+91 9390635999,Kukatpally,tkph@titan.co.in
Touch & Try Men's Wear,0,0,"Garments, Jeans, Ready Made Garments",+91 7799490110,Langar House,shaikrazzaqajju@gmail.com
Liberty Exclusive Showroom,0,0,"Footwear, Lifestyle Accessories, Sandals & Floaters",+91 9985361609,Bandlaguda,libertysuncity@gmail.com
Sri Venkateshwara Watch & Mobiles,0,0,"Computers, Tablets & Mobiles, Mobile Phones",+91 8686141516,Borabanda,p.prabhkar76.pp@gmail.com
Dress Palace For Kids,0,0,"Children Wear, Garments, Uniforms",+91 9642520007,Chikkadpally,lovely_sam_2000@yahoo.com
M & K Enterprises,0,0,"Dress Materials, Jeans, Night Wears",+91 9949034598,M G Road,mnkenterprises4u@gmail.com
Kothari Trading Company,0,0,"Dress Materials, Ethnic Wear, Garments",+91 9603341159,Secunderabad,fairpriceclothstores@gmail.com
Baby Store,0,0,Baby Store,+91 9666124887,Khairatabad,not mentioned
Varshith Mens Wear,0,0,"Garments, Jeans, Lifestyle Accessories",+91 9948106665,RTC X Roads,bhaskarm96@gmail.com
Rajesh Trading & Co.- Kids Wear,0,0,"Garments, Jeans, Pants",+91 9966179988,M G Road,diliprtc@rediffmail.com
Residents Rich Collection,0,0,"Garments, Jeans, Lifestyle Accessories",+91 8464012812,Chikkadpally,residentsrichcollection@gmail.com
Denim Jeans,3,1,"Garments, Jeans, Ready Made Garments",+91 9849903001,Langar House,srikanth.skinz@gmail.com
R.R. Apparels,0,0,"Jeans, Pants, Ready Made Garments",+91 8008330022,Ramgopalpet,rrapparelshyd@gmail.com
Jagdamba Exclusive Showroom,0,0,"Dress Materials, Garments, Jeans",+91 9000232525,Bandlaguda,jagdambaexclusive@yahoo.com
Jo. For Men's,0,0,"Garments, Jeans, Ready Made Garments",+91 9177555786,R C Puram,tmdkhasim6@gmail.com
Ramesh Watch Company Private Limited,0,0,"Lifestyle Accessories, Wrist Watches",+91 40 40202864,Kukatpally,rwckphb@gmail.com
Miss 'N' Kids Clothing Centre,0,0,"Garments, Jeans, Pants",+91 9848083578,Chanda Nagar,umeshagarwal715@gmail.com
Nikkhaar Beauty Salon & Designer,0,0,"Beauty & Wellness, Beauty Parlours, Tailors",+91 9393556065,Tirumalgiri,not mentioned
Vastra Boutique,0,0,"Ethnic Wear, Garments, Tailors",+91 8341796332,Kukatpally,burravanaja@gmail.com
Style-In Men's Wear,0,0,"Garments, Jeans, Lifestyle Accessories",+91 8121538131,Chikkadpally,nikhilbang1719@gmail.com
Ambara Designer Studio,0,0,"Embroidery Works, Fashion Designers",+91 7702251119,KPHB Colony,ambarastudiokphb@gmail.com
Bata Footwear,0,0,"Footwear, Lifestyle Accessories, Sandals & Floaters",+91 9700303043,Bandlaguda,yousuf.bata@gmail.com
Sri Venkata Sai Selections For Ladies,0,0,"Garments, Night Wears, Pants",+91 9393008319,Kukatpally,brmohan@gmail.com
Tirumala Mobiles & Watches,0,0,"Computers, Tablets & Mobiles, Mobile Phones",+91 9866768212,Borabanda,not mentioned
Double F Apparels,0,0,"Garments, Jeans, Pants",+91 8801871851,Ramgopalpet,doublefsec@gmail.com
Try N Buy Store,0,0,"Garments, Jeans, Lifestyle Accessories",+91 9849406699,KPHB Colony,rayap6699@yahoo.co.in
Mehfil Collection,0,0,"Children Wear, Garments, Jeans",+91 9032933639,Charminar,not mentioned
Geeta Suits,0,0,"Garments, Ladies Dresses",+91 9390071800,Ghansi Bazar,not mentioned
Sri Vastra Sagar Hosiery,0,0,"Innerwear And Loungewear, Lifestyle Accessories, Night Wears",+91 9573600363,Bowenpally,not mentioned
Jashn Sarees,0,0,"Ethnic Wear, Garments, Ladies Dresses",+91 40 42030580,Madhapur,not mentioned
Safa Hosiery,0,0,"Garments, Ladies Dresses, Ready Made Garments",+91 9550009533,Dewan Devdi,not mentioned
Anshul Apparels,0,0,"Garments, Jeans, Lifestyle Accessories",+91 9290970008,Dewan Devdi,not mentioned
K.M. Traders,0,0,"Garments, Ready Made Garments, Shorts & Cargo",+91 9849266928,Dewan Devdi,not mentioned
Amair Hosiery,0,0,"Innerwear And Loungewear, Lifestyle Accessories",+91 9399904012,Dewan Devdi,not mentioned
Rado Watch Store,0,0,"Lifestyle Accessories, Wrist Watches",+91 9989821521,Kukatpally,rado.forum2014@gmail.com
Trendz Collections,0,0,"Garments, Jeans, Pants",+91 9704778800,Dewan Devdi,not mentioned
Sparsh Fashion Invogue,0,0,Tailors & Designers,+91 9704333785,Habsiguda,sangeeta.bharvani@gmail.com
Oasis Center Shopping Mall,0,0,"Garments, Jeans, Ladies Dresses",+91 40 40044293,Punjagutta,not mentioned
Sona Garments & Hosiery,0,0,"Garments, Jeans, Ready Made Garments",+91 9346677927,Mallepally,md_azeem@gmail.com
The Fastrack Store,0,0,"Lifestyle Accessories, Wrist Watches",+91 40 66565698 ,Madhapur,fastracksiblings@gmail.com
Sadguru Textiles,3,1,"Garments, Sarees & Blouses, Suitings & Shirtings",+91 9849013488,Ghansi Bazar,not mentioned
Ahmed Traders,0,0,"Garments, Jeans, Ready Made Garments",+91 9849743732,Dewan Devdi,not mentioned
M.F. Collection,0,0,"Garments, Ladies Dresses",+91 9247986223,Dewan Devdi,not mentioned
Navyug Hosiery & Military Stores,0,0,Uniforms,+91 40 27703751,Regimental Bazar,not mentioned
Balaji Hosiery Xlu,0,0,"Innerwear And Loungewear, Lifestyle Accessories, Real Estate Developers",+91 40 23228084,Basheer Bagh,balajixlu@yahoo.com
Navrang Hosiery & Dresses,0,0,"Innerwear And Loungewear, Lifestyle Accessories, Night Wears",+91 40 23893539,Kukatpally,not mentioned
Veena Sharma Wool & Hosiery Store,0,0,"Lifestyle Accessories, Winter Wear",+91 9866325936,Sainikpuri,smartyritu@gmail.com
Hanuman Agency Jairam Agency,0,0,"Garments, Lifestyle Accessories, Sarees & Blouses",+91 9391309899,Ghansi Bazar,ms_cuteinguy@yahoo.co.in
The Fastrack Store,0,0,"Lifestyle Accessories, Wrist Watches",+91 40 66334485,Begumpet,bluemarine.fastrack@gmail.com
Sona Hosiery Garments,0,0,"Children Wear, Ethnic Wear, Garments",+91 9347210076,Charminar,not mentioned
The Fastrack Store,0,0,"Lifestyle Accessories, Wrist Watches",+91 40 66134446,S R Nagar,bluemarine.fastrack@gmail.com
Subash Textiles,0,0,"Garments, Sarees & Blouses",+91 9848053501,Ghansi Bazar,not mentioned
Goyal Textiles,0,0,Textiles,+91 9246042872,Ghansi Bazar,not mentioned
Chaganlal Anil Kumar,0,0,"Garments, Sarees & Blouses",+91 9246175009,Ghansi Bazar,anilsynthetics1956@gmail.com
Kabra Sales Corporation,0,0,"Lifestyle Accessories, Suitings & Shirtings",+91 9849293076,Ghansi Bazar,not mentioned
Poonam Saree Center,0,0,Textiles,+91 40 24575982,Ghansi Bazar,not mentioned
S.R. Traders,0,0,Textiles,+91 9247874169,Ghansi Bazar,not mentioned
Sri Vinayaka Textiles,0,0,"Dress Materials, Garments, Sarees & Blouses",+91 9849083954,Ghansi Bazar,not mentioned
Jagadamba Fancy Stores,0,0,"Bangles, Lifestyle Accessories",+91 40 24755096,King Koti,jagadambafs.hyd@gmail.com
Fancy Bangles Stores,0,0,"Bangles, Lifestyle Accessories",+91 9948624430,Ameerpet,not mentioned
Veena Fancy Store,0,0,"Bangles, Lifestyle Accessories",+91 40 65121918,King Koti,not mentioned
Swathi Fancy Stores,0,0,"Tailors, Tailors & Designers",+91 40 65765278,King Koti,not mentioned
Sri Krishna Textiles,0,0,"Dress Materials, Lifestyle Accessories, Suitings & Shirtings",+91 9246557910,Ghansi Bazar,not mentioned
New Perfect Watch & Mobiles,0,0,"Computers, Tablets & Mobiles, Mobile Phones",+91 9849268946,RTC X Roads,not mentioned
Dwaraka Boutique,0,0,Garments,+91 9010826125,Kukatpally,dwarakaboutique@gmail.com
Sailu Boutique,0,0,"Garments, Tailors & Designers",+91 9247058359,Miyapur,sailuboutique@gmail.com
Ashok Textiles,0,0,"Garments, Sarees & Blouses",+91 9394519843,Ghansi Bazar,not mentioned
Gini & Jony Kids Clothing Center,0,0,Textiles,+91 40 40070074,Himayat Nagar,himayathnagar.gj@giniandjony.com
Kamal Kishore Ashok Kumar Jain Cloth Merchant,0,0,"Garments, Ladies Dresses, Textiles",+91 9296500224,Ghansi Bazar,not mentioned
Andhra Hosiery,0,0,Textiles,+91 40 23387653,Abids,not mentioned
Vishal Textiles,0,0,Textiles,+91 40 24575948,Ghansi Bazar,not mentioned
Vigneshwara Silks,0,0,"Garments, Handlooms, Sarees & Blouses",+91 9246791355,Ghansi Bazar,not mentioned
Mohan Textorium,0,0,"Garments, Sarees & Blouses, Textiles",+91 9293929312,Ghansi Bazar,not mentioned
Blackberrys Men Clothing Centre,0,0,"Ready Made Garments, Shirts, Trousers",+91 40 69997733,Banjara Hills,blackberrys48hyd@gmail.com
Sujjis Stitch & Designer Wear,0,0,Tailors & Designers,+91 7032803524,Kukatpally,not mentioned
J.G. Fashion & Textiles,0,0,"Garments, Sarees & Blouses",+91 9032015003,Ghansi Bazar,srishyamtextiles@gmail.com
Sri Rama Khadi Bhandar,0,0,Textiles,+91 9393761298,Kondapur,tadikonda_anand@yahoo.co.in
Pochampally Silks & Sarees,0,0,"Garments, Sarees & Blouses",+91 9246583355,Abids,pochampally@gmail.com
Padma Ladies Tailor And Fancy Stores,0,0,"Tailors, Tailors & Designers",+91 9014504649,Santosh Nagar,not mentioned
Meena Bazar Extension,0,0,"Dress Materials, Ethnic Wear, Garments",+91 40 24755164,Abids,not mentioned
